Quantity,Manufacturer Part Number,Digi-Key Part Number,Manufacturer,Description,Packaging,Unit Price,Extended Price,Mfg Std Lead Time
1,CF14JT270R,CF14JT270RCT-ND,Stackpole Electronics Inc,RES 270 OHM 1/4W 5% AXIAL,Cut Tape (CT),0.1,$0.10,24 Weeks
10,CF14JT4K70,CF14JT4K70CT-ND,Stackpole Electronics Inc,RES 4.7K OHM 1/4W 5% AXIAL,Cut Tape (CT),0.036,$0.36,24 Weeks
1,CF14JT510R,CF14JT510RCT-ND,Stackpole Electronics Inc,RES 510 OHM 1/4W 5% AXIAL,Cut Tape (CT),0.1,$0.10,24 Weeks
1,CF14JT9K10,CF14JT9K10CT-ND,Stackpole Electronics Inc,RES 9.1K OHM 1/4W 5% AXIAL,Cut Tape (CT),0.1,$0.10,24 Weeks
1,SDS-40J,CP-2340-ND,CUI Devices,CONN RCPT FMALE DIN 4POS SOLDER,Tray,2.6,$2.60,15 Weeks
1,SDS-50J,CP-2350-ND,CUI Devices,CONN RCPT FMALE DIN 5POS SOLDER,Tray,2.65,$2.65,15 Weeks
2,SDS-60J,CP-2360-ND,CUI Devices,CONN RCPT FMALE DIN 6POS SOLDER,Box,3.06,$6.12,15 Weeks
1,CSC10A014K70GEK,CSC4.7KCC-ND,Vishay Dale,RES ARRAY 9 RES 4.7K OHM 10SIP,Bulk,1.5,$1.50,34 Weeks
1,MP143,CTX088-ND,CTS-Frequency Controls,CRYSTAL 14.31818MHZ SERIES TH,Bulk,0.66,$0.66,12 Weeks
5,ED40DT,ED3048-5-ND,On Shore Technology Inc.,CONN IC DIP SOCKET 40POS TIN,Tube,0.48,$2.40,14 Weeks
1,501603B00000G,HS110-ND,"Aavid, Thermal Division of Boyd Corporation","HEAT SINK TO-3 1.25"" COMPACT",Tray,6.41,$6.41,7 Weeks
1,EBC20DRAS,S9672-ND,Sullins Connector Solutions,CONN EDGE DUAL FMALE 40POS 0.100,Tray,6.9,$6.90,3 Weeks
1,B3F-3152,SW410-ND,Omron Electronics Inc-EMC Div,SWITCH TACTILE SPST-NO 0.05A 24V,Bulk,0.45,$0.45,15 Weeks
1,B32-1010,SW451-ND,Omron Electronics Inc-EMC Div,CAP TACTILE SQUARE BLACK,Bulk,0.3,$0.30,15 Weeks
1,A 14-LC-TT,AE9989-ND,Assmann WSW Components,CONN IC DIP SOCKET 14POS TIN,Tube,0.23,$0.23,20 Weeks
1,A 08-LC-TT,AE9986-ND,Assmann WSW Components,CONN IC DIP SOCKET 8POS TIN,Tube,0.19,$0.19,20 Weeks
2,UST1C101MDD1TA,493-17434-1-ND,Nichicon,CAP ALUM 100UF 20% 16V RADIAL,Cut Tape (CT),0.51,$1.02,18 Weeks
